235,-231
235,-233
235,-237
234,-242
232,-246
230,-252
226,-258
224,-265
222,-270
217,-275
211,-283
207,-290
202,-296
196,-304
191,-311
183,-316
179,-321
173,-324
167,-329
164,-332
161,-336
159,-339
157,-340
155,-343
154,-344
152,-345
151,-347
149,-348
149,-350
148,-350
148,-351
149,-351
152,-351
159,-351
171,-351
184,-351
198,-351
209,-351
223,-351
241,-351
254,-351
266,-351
274,-351
281,-351
284,-350
284,-348
284,-346
283,-345
280,-341
275,-338
271,-336
263,-332
257,-329
254,-326
252,-323
249,-321
246,-321
244,-320
241,-317
240,-315
238,-315
235,-312
232,-310
230,-309
228,-308
227,-307
226,-309
226,-314
224,-322
221,-330
219,-341
216,-348
214,-355
212,-362
208,-370
203,-377
201,-385
199,-393
197,-402
194,-409
192,-415
189,-418
186,-421
183,-425
180,-428
179,-428
177,-429
176,-429
175,-427
174,-426
173,-423
171,-420
170,-416
169,-411
168,-408
168,-406
167,-404
167,-402
167,-400
167,-398
171,-395
177,-390
186,-384
197,-378
207,-370
218,-365
227,-358
235,-352
242,-348
247,-345
251,-342
254,-338
256,-333
259,-330
262,-328
264,-326
265,-324
267,-321
268,-320
270,-317
272,-314
273,-312
275,-311
276,-309
277,-307
278,-306
279,-305
279,-306
279,-311
277,-321
275,-331
273,-340
271,-352
269,-365
268,-379
265,-396
261,-411
260,-423
259,-436
259,-448
259,-455
259,-462
259,-465
259,-468
259,-470
261,-470
262,-470
265,-466
267,-462
268,-454
271,-446
272,-438
273,-429
274,-422
276,-415
278,-408
278,-403
279,-397
281,-390
283,-383
284,-378
284,-374
285,-372
285,-371
285,-369
285,-368
283,-373
278,-379
272,-385
263,-393
252,-399
246,-404
240,-409
236,-412
230,-415
228,-415
228,-414
228,-412
228,-405
230,-400
232,-394
235,-387
240,-381
245,-373
251,-367
259,-361
268,-354
275,-346
281,-340
287,-335
293,-331
297,-327
303,-324
305,-321
309,-318
311,-316
312,-316
314,-316
314,-317
314,-318
315,-320
315,-322
318,-322
318,-324
319,-324
320,-323
321,-322
324,-318
326,-312
328,-308
331,-301
333,-295
334,-291
336,-286
337,-282
338,-276
339,-274
339,-272
340,-270
341,-270
341,-272
341,-277
341,-280
341,-284
341,-288
341,-293
341,-298
341,-305
341,-310
341,-314
341,-315
341,-317
341,-316
341,-313
341,-309
342,-304
343,-298
345,-291
346,-284
349,-278
351,-273
353,-270
354,-266
355,-262
355,-260
356,-258
356,-257
357,-256
358,-256
359,-256
361,-255
364,-253
366,-252
369,-251
372,-250
376,-250
382,-250
392,-251
402,-251
412,-251
421,-253
427,-254
429,-255
431,-257
432,-259
432,-261
432,-264
432,-268
432,-273
430,-278
425,-286
419,-295
415,-301
411,-308
408,-313
405,-316
402,-320
397,-323
394,-325
393,-327
392,-328
391,-328
390,-328
388,-328
384,-326
380,-323
375,-320
372,-317
369,-314
367,-311
365,-308
364,-306
363,-303
362,-300
362,-299
362,-297
362,-295
362,-293
362,-292
364,-290
367,-290
369,-289
372,-287
376,-287
382,-286
388,-285
393,-285
398,-285
402,-285
405,-285
406,-286
406,-287
406,-289
405,-293
403,-296
399,-299
392,-303
385,-306
379,-310
376,-312
373,-312
371,-314
371,-315
371,-316
370,-318
370,-319
369,-320
367,-322
365,-324
360,-325
351,-329
341,-331
332,-334
322,-337
314,-342
310,-344
308,-345
308,-346
308,-347
309,-347
315,-347
329,-344
339,-341
353,-339
369,-339
390,-339
406,-339
423,-339
436,-339
444,-339
447,-339
448,-339
446,-340
446,-341
444,-341
443,-342
441,-342
438,-342
433,-343
428,-344
424,-345
419,-345
414,-345
408,-345
405,-345
398,-345
393,-345
